Amount of iterations, time GPU, time CPU
10, 1.940492, 1.309406
20, 1.042831, 2.579760
30, 1.062893, 3.861825
40, 1.107928, 5.173041
50, 1.131892, 6.457954
60, 1.177038, 7.749384
70, 1.221087, 9.065272
80, 1.239918, 10.325521
90, 1.233375, 11.609002
100, 1.331264, 12.935331
110, 1.340401, 14.263957
120, 1.386646, 15.702705
130, 1.431948, 17.227802
140, 1.769750, 18.934156
150, 1.643812, 20.201193
160, 1.698305, 21.031330
170, 1.628836, 22.137268
180, 1.624048, 23.543200
190, 1.655422, 28.712265
200, 1.833792, 30.298710
210, 1.902069, 32.319252
220, 1.958035, 29.148060
230, 1.912632, 31.592474
240, 1.845800, 31.625473
250, 1.705991, 32.601917
260, 1.789217, 33.669044
270, 1.846607, 35.175583
280, 1.782874, 36.286346
290, 1.805756, 37.686371
300, 1.881390, 38.948090
310, 1.872097, 40.140770
320, 1.965421, 41.721886
330, 1.902639, 42.442398
340, 1.971854, 44.934349
350, 2.041116, 47.389397
360, 2.035772, 48.137051
370, 2.035667, 47.841061
380, 2.051357, 49.494621
390, 2.094815, 50.506859
400, 2.159772, 52.799744
410, 2.140257, 54.895485
420, 2.183181, 55.943214
430, 2.206042, 57.432472
440, 2.265962, 57.301392
450, 2.260564, 59.012932
460, 2.284007, 61.510723
470, 2.293813, 61.044212
480, 2.380158, 61.914928
490, 2.354251, 63.175243
500, 2.394781, 64.646042
510, 2.443805, 65.944412
520, 2.443602, 67.135300
530, 2.484228, 68.559547
540, 2.544315, 69.765892
550, 2.507930, 70.998558
560, 2.580982, 72.491760
570, 2.614903, 73.634949
580, 2.600948, 75.100639
590, 2.629070, 75.971474
600, 2.662307, 77.401001
610, 2.691868, 78.679146
620, 2.713054, 80.131569
630, 2.756353, 81.601181
640, 2.796371, 82.491798
650, 2.804682, 83.902771
660, 2.795808, 84.904678
670, 2.823596, 86.176872
680, 2.853756, 87.449013
690, 2.882257, 88.733559
700, 2.924038, 90.090424
710, 2.987609, 91.392303
720, 2.983348, 92.706703
730, 2.990180, 94.043953
740, 3.034500, 95.275932
750, 3.087976, 96.691185
760, 3.111353, 98.196793
770, 3.115321, 99.578354
780, 3.187181, 101.024490
790, 3.181013, 103.248596
800, 3.233798, 104.280128
810, 3.226831, 104.163406
820, 3.232440, 105.935059
830, 3.264652, 107.440262
840, 3.287099, 108.777687
850, 3.342287, 110.031128
860, 3.398444, 111.343155
870, 3.436379, 113.576942
880, 3.433886, 113.455627
890, 3.410904, 114.699242
900, 3.523793, 116.772606
910, 3.503124, 117.912270
920, 3.544483, 119.392746
930, 3.545999, 121.122986
940, 3.560947, 122.290138
950, 3.614224, 123.902512
960, 3.639201, 124.721779
970, 3.724367, 126.344742
980, 3.676814, 128.242508
990, 3.711088, 127.329323
