Amount of iterations, Amount of points, Time GPU, Time CPU
10, 10, 2.733248, 0.040697
60, 10, 1.719041, 0.203601
110, 10, 1.880824, 0.372363
160, 10, 1.824002, 0.580835
210, 10, 1.750122, 0.704105
260, 10, 1.554442, 0.884325
310, 10, 1.695714, 1.033980
360, 10, 1.689992, 1.202422
410, 10, 2.127586, 1.796227
460, 10, 2.043853, 2.181720
510, 10, 1.906011, 1.719187
560, 10, 1.938737, 2.434262
610, 10, 1.967096, 2.005133
660, 10, 2.103395, 2.171746
710, 10, 2.159934, 2.445436
760, 10, 2.096776, 2.500984
810, 10, 2.068590, 2.648117
860, 10, 2.125865, 2.799322
910, 10, 2.185532, 2.969264
960, 10, 2.238158, 3.140829
10, 30, 1.227022, 0.099676
60, 30, 1.267856, 0.598163
110, 30, 1.328475, 1.102196
160, 30, 1.427952, 1.571817
210, 30, 1.423680, 2.054313
260, 30, 1.474593, 2.543639
310, 30, 1.572466, 3.068449
360, 30, 1.600716, 3.505367
410, 30, 1.706504, 3.998457
460, 30, 1.767472, 4.826278
510, 30, 1.797826, 4.991816
560, 30, 1.819628, 5.431104
610, 30, 1.965009, 6.015069
660, 30, 1.948984, 6.409782
710, 30, 2.000844, 6.991653
760, 30, 2.053600, 7.421688
810, 30, 2.128891, 7.879014
860, 30, 2.198524, 8.414747
910, 30, 2.228054, 8.852934
960, 30, 2.288162, 9.359576
10, 50, 1.232824, 0.161927
60, 50, 1.306833, 1.009500
110, 50, 1.371414, 1.955501
160, 50, 1.457084, 2.648010
210, 50, 1.431024, 3.396224
260, 50, 1.494284, 4.197391
310, 50, 1.572465, 5.145666
360, 50, 1.684518, 5.812758
410, 50, 1.707544, 6.646482
460, 50, 1.755768, 7.565539
510, 50, 1.771685, 8.247930
560, 50, 2.007664, 9.082282
610, 50, 2.153527, 9.896599
660, 50, 2.290858, 10.970588
710, 50, 2.452190, 11.490571
760, 50, 2.545717, 12.291373
810, 50, 2.691971, 13.042476
860, 50, 2.817039, 13.833369
910, 50, 2.861640, 14.654791
960, 50, 2.946864, 15.473432
10, 70, 1.553776, 0.230143
60, 70, 1.595214, 1.362144
110, 70, 1.695509, 2.493410
160, 70, 1.821327, 3.714520
210, 70, 1.800801, 4.736783
260, 70, 1.890284, 5.882804
310, 70, 1.876314, 7.018143
360, 70, 1.990007, 9.301672
410, 70, 2.038184, 9.243196
460, 70, 2.171901, 10.365622
510, 70, 2.179231, 11.504225
560, 70, 2.306453, 14.401375
610, 70, 2.489363, 13.775302
660, 70, 2.449889, 14.875746
710, 70, 2.483050, 15.995285
760, 70, 2.566521, 17.134531
810, 70, 2.689043, 18.285994
860, 70, 2.913752, 19.473576
910, 70, 2.937357, 20.547747
960, 70, 3.052476, 21.627434
10, 90, 1.549520, 0.290929
60, 90, 1.570166, 1.742722
110, 90, 1.641830, 3.194304
160, 90, 1.729912, 4.651652
210, 90, 1.802462, 6.089294
260, 90, 1.880234, 7.538514
310, 90, 1.980162, 9.014773
360, 90, 2.076775, 10.435763
410, 90, 2.147438, 11.882503
460, 90, 2.189358, 13.326029
510, 90, 2.275513, 14.779205
560, 90, 2.354723, 16.235725
610, 90, 2.440153, 17.691364
660, 90, 2.600438, 19.163992
710, 90, 2.569370, 20.574392
760, 90, 2.651047, 22.054493
810, 90, 2.713854, 23.478765
860, 90, 2.911915, 24.968395
910, 90, 2.906902, 26.405926
960, 90, 2.975849, 27.835581
10, 110, 1.550705, 0.355997
60, 110, 1.604620, 2.139892
110, 110, 1.644811, 3.900397
160, 110, 1.815992, 5.846808
210, 110, 1.798255, 7.474299
260, 110, 1.846677, 9.252664
310, 110, 1.859221, 11.019607
360, 110, 1.918388, 12.778178
410, 110, 2.019361, 14.557805
460, 110, 2.071715, 16.329990
510, 110, 2.215362, 18.535015
560, 110, 2.265222, 20.031490
610, 110, 2.304388, 21.699497
660, 110, 2.407899, 23.564365
710, 110, 2.646570, 25.404863
760, 110, 2.813736, 26.904125
810, 110, 2.797341, 28.692516
860, 110, 2.887952, 30.502035
910, 110, 2.996694, 32.918911
960, 110, 3.084658, 34.397980
10, 130, 1.537063, 0.419015
60, 130, 1.587052, 2.706663
110, 130, 1.686133, 4.677006
160, 130, 1.758666, 6.707789
210, 130, 1.892402, 9.605978
260, 130, 2.011804, 10.906657
310, 130, 2.043945, 12.970467
360, 130, 2.128351, 15.078592
410, 130, 2.222224, 17.191425
460, 130, 2.309693, 19.288189
510, 130, 2.421713, 21.836292
560, 130, 2.510576, 23.497320
610, 130, 2.567842, 25.537327
660, 130, 2.661294, 27.612768
710, 130, 2.825665, 29.731726
760, 130, 2.862024, 31.872971
810, 130, 2.973110, 33.939178
860, 130, 3.122396, 36.132271
910, 130, 3.115862, 38.162918
960, 130, 3.255994, 40.217255
10, 150, 1.527717, 0.489154
60, 150, 1.579876, 2.899950
110, 150, 1.663761, 5.321196
160, 150, 1.780143, 7.733354
210, 150, 1.847588, 10.148948
260, 150, 1.962455, 12.562935
310, 150, 2.040457, 14.985555
360, 150, 2.179120, 17.392788
410, 150, 2.269071, 19.805122
460, 150, 2.349288, 22.268963
510, 150, 2.465951, 24.658596
560, 150, 2.531555, 27.179987
610, 150, 2.607274, 29.487402
660, 150, 2.681276, 31.934565
710, 150, 2.815823, 34.383659
760, 150, 2.860551, 36.749493
810, 150, 2.965434, 39.242939
860, 150, 3.094635, 41.677723
910, 150, 3.143410, 44.174019
960, 150, 3.313160, 46.730034
10, 170, 1.532011, 0.551123
60, 170, 1.592415, 3.289849
110, 170, 1.695017, 6.023881
160, 170, 1.793360, 8.767191
210, 170, 1.895746, 11.499804
260, 170, 2.007556, 14.231801
310, 170, 2.168097, 16.987000
360, 170, 2.206099, 19.699533
410, 170, 2.294414, 22.438601
460, 170, 2.407390, 25.184988
510, 170, 2.568205, 27.960367
